1	0
2	0.809
3	3.3631
4	3.8928
5	3.9925
6	2.1596
7	14.8784
8	9.9272
9	9.6809
10	10.167
11	4.7986
12	7.1824
13	11.1255
14	8.2624
15	10.562
16	12.36
17	13.9659
18	36.1074
19	21.148
20	26.852
21	22.0986
22	16.8592
23	30.2461
24	23.4648
25	27.575
26	31.0974
27	24.405
28	28.7556
29	27.753
30	28.693
31	40.3275
32	36.448
33	45.9182
34	38.091
35	34.608
36	40.9576
37	41.4254
38	39.0334
39	48.3252
40	47.952
41	46.5919
42	39.1776
43	49.8148
44	67.5924
45	36.421
46	48.4028
47	44.9519
48	39.936
49	44.2224
50	47.63
51	39.9853
52	64.8964
53	49.3466
54	54.4852
55	61.572
56	47.2968
57	38.4522
58	53.3836
59	66.6777
60	33.986
61	51.3394
62	78.0722
63	38.1805
64	58.6656
65	82.101
66	62.5772
67	55.1218
68	69.1996
69	61.5926
70	67.288
71	56.7223
72	85.0968
73	87.6234
74	77.3992
75	77.945
76	87.9732
77	75.4308
78	84.2066
79	71.8195
80	79.24
81	89.7949
82	86.7782
83	85.7864
84	67.5032
85	66.067
86	105.688
87	89.3113
88	73.7072
89	82.6375
90	91.973
91	95.2647
92	80.6932
93	128.047
94	106.236
95	84.19
96	91.0016
97	90.0559
98	97.0648
99	93.6917
